"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","roughCorrectionErrorRy","singleParticleRy","totalRy","elapsedSeconds","workerKernel","status","source","started","completed"
"10.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 3.0569003294158894, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327",0.0008286000902912109,-0.0033402814480767576,,-4.031234714086041,0.019613445422999806,24.12189402553059,20.090659311444547,8572.1817289,21,"complete","parallel-pattern-search-remaining","2026-08-02T06:55:54","2026-08-02T09:18:46"
"10.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.7067119659131893","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.7067119659131893}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.7067119659131893",0.0012771211418666532,-0.005106894330200987,,-3.998754826606894,0.01910885279386001,24.12189402553059,20.123139198923695,8513.770355999999,20,"complete","parallel-pattern-search-remaining","2026-08-02T06:57:10","2026-08-02T09:19:03"
"10.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|2.085981291671676","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 2.085981291671676}","0.6423642956307125|0.05418019210545175|2.8304632679776756|2.085981291671676",0.00038298985938803657,-0.0015054811413091093,,-3.9308642367572197,0.020991028421374753,24.12189402553059,20.19102978877337,8492.4283392,23,"complete","parallel-pattern-search-remaining","2026-08-02T06:57:53","2026-08-02T09:19:25"
"5.|2.::XX::2000000::0.5874814831307124|0.001|3.0205999867276767|1.8743739725424318","XX-first-verification","5.|2.",5,2,"XX",2000000,"{0.5874814831307124, 0.001, 3.0205999867276767, 1.8743739725424318}","0.5874814831307124|0.001|3.0205999867276767|1.8743739725424318",0.001430021897718449,-0.004930074688443344,,-3.447551884561425,0.01031817683405929,7.11327577431993,3.665723889758505,20083.735301999997,24,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:54:10"
"5.|0.5::XX::2000000::0.7556943737557128|0.21332841922907436|2.577484752352676|2.3827235819174315","XX-first-verification","5.|0.5",5,0.5,"XX",2000000,"{0.7556943737557128, 0.21332841922907436, 2.577484752352676, 2.3827235819174315}","0.7556943737557128|0.21332841922907436|2.577484752352676|2.3827235819174315",0.0005649080755363029,-0.0038319106642934328,,-6.783246390407073,0.01661610329372823,96.48757610212236,89.70432971171529,20118.942932899998,19,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:54:45"
"3.|1.::XX::2000000::0.6533017956307122|0.0633070356251368|2.5421820179776766|2.528559416671675","XX-first-verification","3.|1.",3,1,"XX",2000000,"{0.6533017956307122, 0.0633070356251368, 2.5421820179776766, 2.528559416671675}","0.6533017956307122|0.0633070356251368|2.5421820179776766|2.528559416671675",0.0007603544902378587,-0.0043059597718672635,,-5.663095078875968,0.012715540804490437,27.490612192446577,21.827517113570607,20127.5799418,26,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:54:54"
"5.|2.::XX::2000000::0.5874814831307124|0.010584384475523713|3.0205999867276767|1.8743739725424318","XX-first-verification","5.|2.",5,2,"XX",2000000,"{0.5874814831307124, 0.010584384475523713, 3.0205999867276767, 1.8743739725424318}","0.5874814831307124|0.010584384475523713|3.0205999867276767|1.8743739725424318",0.0013412417761474462,-0.004613247027735437,,-3.439534250854032,0.010428129822595566,7.11327577431993,3.673741523465898,20165.8628266,23,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:55:32"
"5.|1.5::XX::2000000::0.6077939831307123|0.004089211802105613|2.858881236727677|1.953280222542432","XX-first-verification","5.|1.5",5,1.5,"XX",2000000,"{0.6077939831307123, 0.004089211802105613, 2.858881236727677, 1.953280222542432}","0.6077939831307123|0.004089211802105613|2.858881236727677|1.953280222542432",0.001457695497271957,-0.005834358123461885,,-4.002453279426842,0.010968931389466259,12.004162995568894,8.001709716142052,20239.549155700002,21,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:56:45"
"3.|1.::XX::2000000::0.6533017956307122|0.0633070356251368|2.5421820179776766|2.2986903787924318","XX-first-verification","3.|1.",3,1,"XX",2000000,"{0.6533017956307122, 0.0633070356251368, 2.5421820179776766, 2.2986903787924318}","0.6533017956307122|0.0633070356251368|2.5421820179776766|2.2986903787924318",0.0012418716576057386,-0.007039837648627779,,-5.668732034838612,0.012013198692758395,27.490612192446577,21.821880157607964,20240.553070100003,25,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:56:46"
"5.|0.5::XX::2000000::0.7556943737557128|0.21332841922907436|2.3712859721644617|2.3827235819174315","XX-first-verification","5.|0.5",5,0.5,"XX",2000000,"{0.7556943737557128, 0.21332841922907436, 2.3712859721644617, 2.3827235819174315}","0.7556943737557128|0.21332841922907436|2.3712859721644617|2.3827235819174315",0.0005837823342163665,-0.003972836318463597,,-6.805338369473766,0.017195735273597697,96.48757610212236,89.68223773264859,20266.2268538,20,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:57:12"
"5.|1.5::XX::2000000::0.6077939831307123|0.001|2.858881236727677|1.953280222542432","XX-first-verification","5.|1.5",5,1.5,"XX",2000000,"{0.6077939831307123, 0.001, 2.858881236727677, 1.953280222542432}","0.6077939831307123|0.001|2.858881236727677|1.953280222542432",0.0014874656897979832,-0.005952708551765131,,-4.001913181993182,0.010940188932604724,12.004162995568894,8.002249813575713,20312.9460162,22,"complete","parallel-pattern-search-remaining","2026-08-02T09:19:26","2026-08-02T14:57:59"
"7.|1.::XX::2000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-first-verification","7.|1.",7,1,"XX",2000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0012822956412327944,-0.005696750773493862,,-4.442618839456575,0.012837577134457281,24.74063817863761,20.298019339181035,13479.229922400002,24,"complete","parallel-pattern-search-remaining","2026-08-02T14:54:10","2026-08-02T18:38:49"
"10.|1.::XX::2000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-first-verification","10.|1.",10,1,"XX",2000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0006861483471747633,-0.0027393359167346937,,-3.992337703667134,0.014191775986793874,24.12189402553059,20.129556321863458,13456.771191,26,"complete","parallel-pattern-search-remaining","2026-08-02T14:54:54","2026-08-02T18:39:10"
"7.|1.::XX::2000000::0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327","XX-first-verification","7.|1.",7,1,"XX",2000000,"{0.6423642956307125, 0.05418019210545175, 2.6040262065394617, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327",0.001108588230501784,-0.0049484535722112925,,-4.463743557850562,0.013213780836381523,24.74063817863761,20.276894620787047,13468.8091984,19,"complete","parallel-pattern-search-remaining","2026-08-02T14:54:45","2026-08-02T18:39:14"
"10.|1.::XX::2000000::0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327","XX-first-verification","10.|1.",10,1,"XX",2000000,"{0.6423642956307125, 0.05418019210545175, 3.0569003294158894, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327",0.000830325398648572,-0.0033457621214948385,,-4.029458965051969,0.013836008003821927,24.12189402553059,20.09243506047862,13457.976019599999,23,"complete","parallel-pattern-search-remaining","2026-08-02T14:55:32","2026-08-02T18:39:50"
"5.|0.5::XX::1000000::0.7556943737557128|0.21332841922907436|2.2681865820703546|2.3827235819174315","XX-directional-refinement","5.|0.5",5,0.5,"XX",1000000,"{0.7556943737557128, 0.21332841922907436, 2.2681865820703546, 2.3827235819174315}","0.7556943737557128|0.21332841922907436|2.2681865820703546|2.3827235819174315",0.0005978275395406546,-0.004077044170835427,,-6.819766406157962,0.02474015817631955,96.48757610212236,89.6678096959644,10090.2418555,19,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:28:01"
"5.|0.5::XX::1000000::0.7556943737557128|0.18666236682544007|2.3712859721644617|2.3827235819174315","XX-directional-refinement","5.|0.5",5,0.5,"XX",1000000,"{0.7556943737557128, 0.18666236682544007, 2.3712859721644617, 2.3827235819174315}","0.7556943737557128|0.18666236682544007|2.3712859721644617|2.3827235819174315",0.0006394111017836251,-0.004359869476925116,,-6.8185701886678896,0.023895697658187567,96.48757610212236,89.66900591345447,10108.426242099998,21,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:28:19"
"5.|1.5::XX::1000000::0.6077939831307123|0.014089211802105614|2.858881236727677|1.953280222542432","XX-directional-refinement","5.|1.5",5,1.5,"XX",1000000,"{0.6077939831307123, 0.014089211802105614, 2.858881236727677, 1.953280222542432}","0.6077939831307123|0.014089211802105614|2.858881236727677|1.953280222542432",0.0013732099194966037,-0.005474270971090924,,-3.986477881763119,0.015648076577358755,12.004162995568894,8.017685113805776,10131.5644525,23,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:28:42"
"5.|2.::XX::1000000::0.5874814831307124|0.020584384475523715|3.0205999867276767|1.8743739725424318","XX-directional-refinement","5.|2.",5,2,"XX",1000000,"{0.5874814831307124, 0.020584384475523715, 3.0205999867276767, 1.8743739725424318}","0.5874814831307124|0.020584384475523715|3.0205999867276767|1.8743739725424318",0.0012531270558525556,-0.004305812328281898,,-3.4360540762185297,0.014854186737665285,7.11327577431993,3.6772216981014,10134.6245659,26,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:28:45"
"5.|1.5::XX::1000000::0.6077939831307123|0.004089211802105613|2.74452598725857|1.953280222542432","XX-directional-refinement","5.|1.5",5,1.5,"XX",1000000,"{0.6077939831307123, 0.004089211802105613, 2.74452598725857, 1.953280222542432}","0.6077939831307123|0.004089211802105613|2.74452598725857|1.953280222542432",0.0013442753533064104,-0.005361566902820453,,-3.9884439520765,0.015716756161655538,12.004162995568894,8.015719043492394,10137.022960799999,24,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:28:48"
"5.|0.5::XX::1000000::0.7556943737557128|0.21332841922907436|2.4743853622585688|2.3827235819174315","XX-directional-refinement","5.|0.5",5,0.5,"XX",1000000,"{0.7556943737557128, 0.21332841922907436, 2.4743853622585688, 2.3827235819174315}","0.7556943737557128|0.21332841922907436|2.4743853622585688|2.3827235819174315",0.0005731780886331797,-0.003874371540487983,,-6.75945507569374,0.023755588897730627,96.48757610212236,89.72812102642862,10168.8701783,20,"complete","parallel-pattern-search-remaining","2026-08-02T18:39:51","2026-08-02T21:29:20"
